,,,,,,,,誰が感じる課題か,,,,,,
,,,,Pts Journey,＃,課題,詳細,"AMD
専門医センモンイ","非専門
眼科医ヒセンモンガンカイ",患者,その他,課題の要因（なぜ起きているのか）,解決方針（何があれば解決するのか）,検討事項ケントウジコウ
,A,受診・紹介,a,受診・紹介ジュシンショウカイ,1,早期GA患者の自覚症状の乏しさ,•自覚症状に乏しく受診につながらない,,,〇,,GAは緩徐進行で初期は自覚症状に乏しく、患者が加齢変化として受け止めやすい。視力以外の見えにくさも言語化されにくく、日常生活の困りごとが受診理由として顕在化しにくい。,自覚症状以外の訴え方、受診勧奨のトリガー、問診で拾うべき生活上の変化を整理する必要がある。加齢変化との違いをどう示すかも論点となる。,受診勧奨につながる生活変化・訴えの整理セイリ
,,,,,,,•受診機会・検診機会の不足/潜在患者を顕在化させる仕組みの未整備,,,,"〇
（仕組み）",無症状段階でGAを拾い上げる健診・検診の導線が限定的で、眼底異常を見つけても眼科受診や専門医紹介へ接続する運用が標準化されていない。,どの機会で眼底異常を拾い、一般眼科受診や専門医紹介へ接続するかを整理する必要がある。キカイ,眼底異常の発見から眼科受診へつなぐ導線ハッケン
,,,,,2,紹介・逆紹介フローの未確立,•紹介基準が不明確、地域連携ネットワークの未整備,〇,〇,,,GA疑い時の紹介基準、紹介先、逆紹介後の役割分担が地域で定まっておらず、一般眼科が紹介判断に迷いやすい。施設間で期待される診療範囲も不統一で、患者導線が安定しない。,紹介基準、必要検査、紹介状記載項目、逆紹介後の経過観察分担を地域連携の論点として整理する必要がある。エリア完結型にするか中核施設集約型にするかも検討課題となる。,GA疑い時の紹介基準と必要検査
,,,,,,,•過去の経験から患者さんを紹介しても返されるという意識,〇,〇,,,過去に紹介後すぐ返された経験や、治療介入につながらなかった記憶が一般眼科の行動を抑制している可能性。カノウセイ,一般眼科から専門医への紹介タイミング、逆紹介後の役割を明確化し、紹介が患者利益につながる実感を持てる運用設計が必要である。,紹介・逆紹介のタイミングと役割分担
,B,診断,a,問診,1,GAを見つける意識の低さ,•GAを意識して問診していないので気付かない,〇,〇,,,GAを治療前提で見つける疾患として問診時に想起していないため、読書・運転・羞明など視力以外の訴えをGA疑いにつなげにくい。GAの疾患想起が不十分であり、鑑別を意識した症状の質的評価（中心暗点、進行様式等）に踏み込んだ問診が実施されにくい。,GAを疑う問診項目と、nAMDや加齢変化との違和感を拾う質問例を整理する必要がある。一般眼科でも短時間で再現可能な問診フレームへ落とし込めるかが論点となる。,"GAを疑う問診項目
短時間で使える問診フレーム"
,,,,,2,患者さんの困りごとの把握不足,•日常生活への影響（運転・読書・趣味など）を十分に把握できていない,〇,〇,,,患者の日常生活上の支障や将来不安を十分に把握できないと、治療意義や緊急度の判断材料が不足する。視力だけでは読書、運転、趣味、家事への影響を捉えきれない。,運転、読書、家事、趣味など把握すべき生活機能を整理し、治療判断やICにどう反映するか議論が必要である。,生活機能の確認項目、治療判断の基準チリョウハンダンキジュン
,,,b,検査,1,GAを発見する検査習慣の未確立,•GA疑いでの検査が習慣化されていない、検査体制の未整備,〇,,,,GA疑い時にどの患者へどの検査を行うかが診療フローに組み込まれておらず、OCT・眼底検査で止まりやすい。検査実施のトリガーや院内体制が標準化されていない。,初診時、経過観察時、nAMDフォロー中など場面別に必要検査を整理し、運用モデルを示す必要がある。,診療プロセス（初診、フォロー、治療判断等）ごとの必要検査と実施順序
,,,,,,,•nAMDフォロー症例で、GA疑いのモニタリングが十分でない,〇,,,,nAMDフォロー症例では滲出所見の評価が優先され、GA併存を疑う契機や確認プロセスが体系化されておらず、意図的に評価されない限り見逃されやすい。,nAMDフォローにおいて滲出評価が優先される中、GA併存を疑うトリガー（構造変化、視機能変化等）や確認プロセスが明確でない。検出のための評価視点と診療フロー上の位置づけの整理が必要。,nAMDフォローでGAを疑うトリガー
